"","c(5, 1, 1)","c(2, 4, 1)Xc(3, 4, 1)Xc(4, 4, 1)Xc(5, 4, 1)Xc(2, 5, 1)Xc(3, 5, 1)Xc(4, 5, 1)Xc(5, 5, 1)","c(1, 3, 2)Xc(1, 4, 2)Xc(1, 5, 2)Xc(1, 3, 3)Xc(1, 4, 3)Xc(1, 5, 3)","support_detection_rate"
"153",-0.546721830124558,-0.294466900638268,0.319582651431734,1
"154",0.191590418500578,-0.68800501171673,-1.09695899850479,1
"155",1.49373526413739,0.682851282917592,-1.85499932760471,1
"156",-1.3585138445519,-0.3295184064882,0.363207560443981,1
"157",1.21057495298221,1.30675141780046,-1.38680271092179,1
"158",1.14646055646244,2.04923586977663,-0.602799302610674,1
"159",0.0615409024215864,-1.00417381021616,1.12251797214457,1
"160",0.00251277192960863,0.0509722630005943,-0.660151847066456,1
"161",-0.141874069142007,1.76767203118834,-1.81044219245623,1
"162",1.5872949627076,0.0932739914312972,-0.432770708356752,1
"163",-0.274539665194947,1.84472024937015,0.0409163206242705,1
"164",0.479741249138235,-0.128054055739208,2.1263643837945,1
"165",-0.549173986824584,-0.296397817806698,-0.448083700631402,1
"166",-0.230729946765931,-1.79600008518942,1.51170115276146,1
"167",-0.683949510237661,-0.42295615463554,-0.404863166263096,1
"168",-0.348770468525271,-0.62125176404018,0.436784222955242,1
"169",-0.477745761218476,0.24321225746173,-0.342109194130516,1
"170",-1.03961956653712,-0.712100915343125,1.26973566292243,1
"171",1.49815396031407,-0.790856385840743,-0.0428205724272858,1
"172",0.0789948304050449,-0.201492072088959,0.0465896505819567,1
"173",0.240419727635974,-0.418588217913207,0.00747594781178267,1
"174",0.57356974503951,-0.0615873391857161,-1.18468785131553,1
"175",-1.54674366004019,-1.57871918951668,-0.308995369823067,1
"176",-0.261485066629661,-0.586157752105767,1.64640722446178,1
"177",-1.62067072756171,0.61206342209819,0.986040294678991,1
"178",0.172342643119025,0.403877041056982,0.935143455600572,1
"179",1.03878613125483,-1.14924019666878,0.400692538854506,1
"180",-0.221369936560407,-1.05698139706438,-0.435065819362768,1
"181",-0.609962374765327,-1.18709666107429,0.152223788249113,1
"182",-1.01339894788081,-0.649969869749282,-0.888982537801337,1
"183",0.959576127103446,1.08379819431401,-0.667283337777808,1
"184",-2.27309777143611,-0.53975157710794,0.831580817239666,1
"185",0.5478922889201,0.968949819683032,0.0402981491291226,1
"186",0.0500565816408513,0.109883826767512,0.210281782257123,1
"187",-1.90132400056408,-2.286649398723,0.0423362368529123,1
"188",-1.26709932812783,0.210574889629614,1.57490145652198,1
"189",-0.525846571443226,-2.72297907202436,-2.35355580280077,1
"190",-1.17277194449877,0.208169035140172,0.592888803503143,1
"191",-1.43545869135989,1.24347720119124,-0.458883723984686,1
"192",0.234984742958121,1.26613923912107,-1.17285110756199,1
"193",-0.355207554189186,-0.171822592279395,1.46930282123043,1
"194",-0.587617064045266,1.80349646099799,-1.29853307655663,1
"195",1.90611990250824,0.88116050647969,-0.495155631592371,1
"196",-0.137466298909073,1.29996141691472,0.703532691929404,1
"197",-1.84022807290681,0.0552390005686173,-1.69733581150355,1
"198",0.923172894999805,-0.0653597493765754,-0.616894673497766,1
"199",-0.152385287443521,-1.29128691258083,0.387291478061467,1
"200",-0.0721121972286897,-0.121563020612668,-1.28920072502715,1
