Policies,estimate
Pool 2,1.193682751873593
Pool 2,1.1580136592084547
Pool 2,1.1841933925977042
Pool 2,1.0993402078164887
Pool 2,1.1698205413383604
Pool 2,1.1427770285092818
Pool 2,1.188771500921931
Pool 2,1.2009278261038496
Pool 2,1.2391224954193132
Pool 2,1.1110099714388866
Pool 2,1.2179768840937593
Pool 2,1.1870996511989962
Pool 2,1.2446746959728978
Pool 2,1.25048576069248
Pool 2,1.1773459271482845
Pool 2,1.1396744367019893
Pool 2,1.2829992378260704
Pool 2,1.2209443898295542
Pool 2,1.1269730458413998
Pool 2,1.2162128950927114
Pool 2,1.1255067060662087
Pool 2,1.1779520699524886
Pool 2,1.147351314397594
Pool 2,1.2137874715660095
Pool 2,1.2246084359986333
Pool 2,1.1770143024150457
Pool 2,1.2170396772695482
Pool 2,1.244785133337271
Pool 2,1.0670254354290665
Pool 2,1.089400408184923
Pool 2,1.2034040078605277
Pool 2,1.147274786788518
Pool 2,1.1592126153017348
Pool 2,1.2994356812149013
Pool 2,1.1413597649850968
Pool 2,1.2404991020732459
Pool 2,1.2055674677461734
Pool 2,1.2012811447136493
Pool 2,1.2415629619870905
Pool 2,1.1595372400471207
Pool 2,1.199235709699103
Pool 2,1.1908938306794261
Pool 2,1.19792842777993
Pool 2,1.2213981822584892
Pool 2,1.1945557511050393
Pool 2,1.172098611849047
Pool 2,1.179404848124145
Pool 2,1.2625985624929277
Pool 2,1.2461660087563078
Pool 2,1.25021234327309
Pool 2,1.1550426739549682
Pool 2,1.2111924744565563
Pool 2,1.1390503597720967
Pool 2,1.1570295633206749
Pool 2,1.062844386956656
Pool 2,1.1517225009188907
Pool 2,1.2030262403667753
Pool 2,1.2610089943482325
Pool 2,1.232232915369824
Pool 2,1.2199226159654297
Pool 2,1.1659782674880281
Pool 2,1.1795208973291047
Pool 2,1.1033326932882883
Pool 2,1.2008611560077986
Pool 2,1.2541552867211394
Pool 2,1.1272284728536082
Pool 2,1.2082445660690206
Pool 2,1.3138143602737913
Pool 2,1.1943935037723852
Pool 2,1.1025423967026904
Pool 2,1.1832186335835333
Pool 2,1.1072928765072765
Pool 2,1.2369725647361947
Pool 2,1.2226902645639968
Pool 2,1.2441602252819108
Pool 2,1.1562326172784199
Pool 2,1.2217736256171374
Pool 2,1.1774944443108921
Pool 2,1.1671811333906423
Pool 2,1.2619978092211066
Pool 2,1.1700756210484993
Pool 2,1.189385892139798
Pool 2,1.19330274534911
Pool 2,1.1632583333147029
Pool 2,1.3017006580626802
Pool 2,1.1429009553407805
Pool 2,1.1461720582688597
Pool 2,1.186269900714632
Pool 2,1.152057357293207
Pool 2,1.1796664423428758
Pool 2,1.118926556757805
Pool 2,1.1926831788790309
Pool 2,1.2570092713419485
Pool 2,1.2610544985905523
Pool 2,1.1901776764725402
Pool 2,1.2231168219573172
Pool 2,1.2530675000895328
Pool 2,1.3174476555306407
Pool 2,1.2492008493438926
Pool 2,1.127738151244982
Pool 2,1.2365793089310022
Pool 2,1.1765334786633739
Pool 2,1.1899303850864615
Pool 2,1.1991573354748202
Pool 2,1.0902708429592662
Pool 2,1.0938661752398466
Pool 2,1.21446762627348
Pool 2,1.166299940649314
Pool 2,1.1798246474971585
Pool 2,1.2032034071748914
Pool 2,1.1900614833954992
Pool 2,1.2381589274187859
Pool 2,1.226973541851857
Pool 2,1.2548976163842174
Pool 2,1.2159766948013717
Pool 2,1.1972012891731627
Pool 2,1.2234528398526174
Pool 2,1.26161252820276
Pool 2,1.2087017087024703
Pool 2,1.1545497191734237
Pool 2,1.2212870661992348
Pool 2,1.1751032935522574
Pool 2,1.2139338834363578
Pool 2,1.2094327444739068
Pool 2,1.1197949211488973
Pool 2,1.1636962836857163
Pool 2,1.133006588832159
Pool 2,1.151171198291199
Pool 2,1.240840453624122
Pool 2,1.1484427745574022
Pool 2,1.2140439773946297
Pool 2,1.2351616602390487
Pool 2,1.1192475097527712
Pool 2,1.196563902019408
Pool 2,1.1838897330230085
Pool 2,1.1800697485647331
Pool 2,1.222792849327754
Pool 2,1.1977279950875845
Pool 2,1.1922617008964562
Pool 2,1.167788670394395
Pool 2,1.2250580791275412
Pool 3,0.30898365378601467
Pool 3,0.3354551942896565
Pool 3,0.26605603337217476
Pool 3,0.2557880645862917
Pool 3,0.32504703381221534
Pool 3,0.3061277416267743
Pool 3,0.33432497464104866
Pool 3,0.30979442206875435
Pool 3,0.2976063916336792
Pool 3,0.34579872803072303
Pool 3,0.35227052463385883
Pool 3,0.2612184745722772
Pool 3,0.3253442537871773
Pool 3,0.2561870404093933
Pool 3,0.3432008668264361
Pool 3,0.36052308097004104
Pool 3,0.2785021964778445
Pool 3,0.28008472270323254
Pool 3,0.3814229856680096
Pool 3,0.3065310871667293
Pool 3,0.34281372867857546
Pool 3,0.2340713990218285
Pool 3,0.32356243247129485
Pool 3,0.3984507588795453
Pool 3,0.3258857639523497
Pool 3,0.3493238753477186
Pool 3,0.31623719471608214
Pool 3,0.31129255834375874
Pool 3,0.3049815697161318
Pool 3,0.290476832246151
Pool 3,0.27710064639841075
Pool 3,0.3163251348917491
Pool 3,0.3304191779793709
Pool 3,0.20828126388431897
Pool 3,0.24266085206159116
Pool 3,0.30387095256251745
Pool 3,0.38826915493219816
Pool 3,0.2555782716162126
Pool 3,0.26558020041521796
Pool 3,0.25884110454060133
Pool 3,0.26817530860345384
Pool 3,0.3145031619383918
Pool 3,0.3678553630956199
Pool 3,0.27459525395333423
Pool 3,0.3930012643924915
Pool 3,0.34825449608935266
Pool 3,0.39069700834631477
Pool 3,0.301842396790069
Pool 3,0.28888523358901586
Pool 3,0.29265868973096626
Pool 3,0.29523474642085656
Pool 3,0.2746042872311418
Pool 3,0.22249503707782045
Pool 3,0.2288328493926659
Pool 3,0.20664707758035536
Pool 3,0.30139478100903516
Pool 3,0.22625833351704985
Pool 3,0.2871380299477502
Pool 3,0.3209766538951863
Pool 3,0.28138441938302666
Pool 3,0.2833086387836511
Pool 3,0.29932304089846923
Pool 3,0.3342625244107913
Pool 3,0.22856492848442833
Pool 3,0.3385147644881464
Pool 3,0.3413675701578699
Pool 3,0.3080215331007393
Pool 3,0.34163749060062387
Pool 3,0.3754498375478797
Pool 3,0.2680889393631604
Pool 3,0.33724520633863186
Pool 3,0.39370913054069534
Pool 3,0.31404636060345226
Pool 3,0.2901653534183161
Pool 3,0.4053424319574606
Pool 3,0.31878801232634424
Pool 3,0.290348522948361
Pool 3,0.37467843383884897
Pool 3,0.2310488459228968
Pool 3,0.3457172478071618
Pool 3,0.29407355856954576
Pool 3,0.314881350624683
Pool 3,0.34163679209233955
Pool 3,0.22923645339982848
Pool 3,0.3294201661492013
Pool 3,0.295659677009925
Pool 3,0.2652334740547546
Pool 3,0.28258177369634035
Pool 3,0.2716101376554939
Pool 3,0.22135097557623146
Pool 3,0.34356185817027496
Pool 3,0.3340293367744625
Pool 3,0.30824428730265685
Pool 3,0.28811582924670226
Pool 3,0.23898189542425957
Pool 3,0.26124513151945017
Pool 3,0.2241949300858756
Pool 3,0.22672211788725805
Pool 3,0.3562673407963235
Pool 3,0.3149483056882774
Pool 3,0.30289727376353964
Pool 3,0.3613807508032935
Pool 3,0.3297860118875107
Pool 3,0.3415662244622235
Pool 3,0.3525365101328726
Pool 3,0.2893062010041301
Pool 3,0.27254905039574695
Pool 3,0.3128615215574998
Pool 3,0.3831417248678939
Pool 3,0.33185714732016425
Pool 3,0.33201605383783656
Pool 3,0.2206889937030569
Pool 3,0.22751623311415045
Pool 3,0.2911297666466477
Pool 3,0.2523311909971328
Pool 3,0.3052557625108502
Pool 3,0.2892602057399396
Pool 3,0.3039196078366025
Pool 3,0.3695021962778276
Pool 3,0.3079755816124669
