"","OLS_best","OLS_hybrid","SP_best","SP_hybrid","DLasso_best","DLasso_hybrid","OLS_prct_diff","SP_prct_diff","DL_prct_diff","OLS_abs_diff","SP_abs_diff","DL_abs_diff","n"
"75",6.15995167879706,6.14106887255476,5.17744523497637,5.17744523062692,6.14178470942029,6.13918487873997,0.0030654146699386,8.40077455380514e-10,0.000423302151300027,0.0188828062422974,4.34945501837092e-09,0.00259983068031922,4000
"76",5.84828995910163,5.72467090006605,5.0507962529152,5.05079624493327,5.59128573443984,5.56456728611905,0.0211376419261153,1.58033062664762e-09,0.00477858753599696,0.123619059035586,7.98192800743891e-09,0.0267184483207918,4000
"77",5.48293176076486,4.25873848547298,4.99578102399929,4.99578102196404,5.29813729072855,4.83524253470365,0.223273483732196,4.07394328406286e-10,0.0873693395667441,1.22419327529187,2.03525285513706e-09,0.462894756024892,4000
"78",5.54831795918013,4.51400141537894,4.96766331748537,4.96766331784351,5.15951670441257,4.63991789846085,0.186419839564139,-7.20948312761728e-11,0.100706875414773,1.03431654380119,-3.58142848710941e-10,0.519598805951716,4000
"79",5.65022736716775,5.21963550468853,5.00755768944598,5.00755797647756,5.36001972946234,5.18995123174003,0.0762078823555489,-5.73196754615269e-08,0.0317290805456355,0.430591862479223,-2.87031581613917e-07,0.170068497722306,4000
"80",5.25233093186247,3.32388219564417,4.8863422855967,4.8863422878762,5.09846174027703,3.88449338344702,0.367160554282606,-4.66503484625882e-10,0.238104828215117,1.9284487362183,-2.27949570330566e-09,1.21396835683001,4000
"81",5.33566948862017,4.81149142783282,4.9240113950213,4.92401155664217,5.23634375558518,4.89791268741112,0.0982403542620678,-3.28230072225879e-08,0.0646311785419129,0.524178060787352,-1.6162086158289e-07,0.338431068174057,5000
"82",5.67340465177153,3.95612302537579,4.80436667156022,4.80436696960705,5.1993427050002,4.16914339917598,0.302689783613358,-6.20366546676277e-08,0.198140296625087,1.71728162639574,-2.98046836100241e-07,1.03019930582422,5000
"83",5.62812162811659,5.42677159211042,4.90004609399101,4.90004609388608,5.21908990996671,5.1563487547411,0.0357757080089169,2.1414505297677e-11,0.0120214743006813,0.201350036006169,1.04932063038632e-10,0.0627411552256101,5000
"84",5.21560303626993,4.54354716681126,5.04847757978934,5.04847757954726,5.19720064500391,4.89200036396072,0.128854873498829,4.79525233732118e-11,0.0587239750569542,0.672055869458672,2.42087239143984e-10,0.305200281043196,5000
"85",4.76164629560999,3.03312093113592,4.99809105523897,4.99809104537415,5.35408719786267,4.34070099399414,0.36301002996961,1.97371578090818e-09,0.189273384317138,1.72852536447407,9.86481119014115e-09,1.01338620386853,5000
"86",5.47177909989997,5.20022316835895,5.20420045044967,5.20420045043624,5.53029381155091,5.42472753236208,0.0496284529369953,2.58012378210111e-12,0.0190887288788056,0.271555931541021,1.34274813490265e-11,0.105566279188832,5000
