"","c(5, 1, 1)","c(2, 4, 1)Xc(3, 4, 1)Xc(4, 4, 1)Xc(5, 4, 1)Xc(2, 5, 1)Xc(3, 5, 1)Xc(4, 5, 1)Xc(5, 5, 1)","c(1, 3, 2)Xc(1, 4, 2)Xc(1, 5, 2)Xc(1, 3, 3)Xc(1, 4, 3)Xc(1, 5, 3)","c(1, 2, 2)Xc(1, 3, 2)Xc(1, 4, 2)Xc(1, 5, 2)Xc(1, 2, 3)Xc(1, 3, 3)Xc(1, 4, 3)Xc(1, 5, 3)","c(1, 4, 2)Xc(1, 5, 2)Xc(1, 4, 3)Xc(1, 5, 3)","c(1, 2, 2)Xc(1, 3, 2)Xc(1, 4, 2)Xc(1, 5, 2)","c(1, 2, 3)","c(1, 3, 3)Xc(1, 4, 3)Xc(1, 5, 3)","support_detection_rate"
"69",-0.234263467799807,0.550716210695641,NA,NA,-0.148354012597361,NA,NA,NA,0.96
"70",0.661551327503883,2.06105060626078,-1.3401502819843,NA,NA,NA,NA,NA,0.96
"71",0.213164433879693,-0.313153014786002,1.17584121413909,NA,NA,NA,NA,NA,0.96
"72",0.101071495664342,0.673342919214442,NA,0.383326647407412,NA,NA,NA,NA,0.96
"73",-1.68181186446928,-0.670666973213629,-0.136317228455693,NA,NA,NA,NA,NA,0.96
"74",-1.12932597566063,0.260391680427456,0.463205033915079,NA,NA,NA,NA,NA,0.96
"75",0.633485180708199,-0.160431880113199,1.13260979653666,NA,NA,NA,NA,NA,0.96
"76",-2.29075164501183,-0.299008285469373,NA,1.3738956241921,NA,NA,NA,NA,0.96
"77",0.448307689439898,1.2106501014942,0.945229769716684,NA,NA,NA,NA,NA,0.96
"78",1.57788800688372,-0.574901516142109,-3.29255101964458,NA,NA,NA,NA,NA,0.96
"79",-1.02663774764254,0.230864579704725,0.085399387782774,NA,NA,NA,NA,NA,0.96
"80",-0.445309453282928,1.27711028856142,0.576776807060961,NA,NA,NA,NA,NA,0.96
"81",1.15909715147774,-1.04221731124495,-0.445197273006344,NA,NA,NA,NA,NA,0.96
"82",-1.23426769719295,0.640308617199516,1.13891033418143,NA,NA,NA,NA,NA,0.96
"83",-0.963394166137548,-1.14938363433444,-1.22441167066058,NA,NA,NA,NA,NA,0.96
"84",0.037369061211008,1.6196121786897,0.27380413374309,NA,NA,NA,NA,NA,0.96
"85",0.899121165089893,0.144090721638807,1.86784890774786,NA,NA,NA,NA,NA,0.96
"86",0.523947914246083,2.24827034598083,0.0439379503253538,NA,NA,NA,NA,NA,0.96
"87",0.597186905014636,-0.853152751683928,-0.113392776510601,NA,NA,NA,NA,NA,0.96
"88",1.03039552147406,-1.87752799357166,1.70494093605515,NA,NA,NA,NA,NA,0.96
"89",-0.0201438223302931,-0.220656645290615,-0.18689191709698,NA,NA,NA,NA,NA,0.96
"90",-0.842765389135102,-1.71697435922204,-0.354235196108672,NA,NA,NA,NA,NA,0.96
"91",0.269751696248913,-0.163831422927497,-0.135379401576242,NA,NA,NA,NA,NA,0.96
"92",2.94855708307111,-0.0774120033911099,-1.14389254010611,NA,NA,NA,NA,NA,0.96
"93",-1.13926014640546,-0.634000155041787,-0.856460077964649,NA,NA,NA,NA,NA,0.96
"94",-0.709920835743697,0.438816148467774,0.718223202607543,NA,NA,NA,NA,NA,0.96
"95",0.774359203115362,-0.188083118452973,1.30520400149026,NA,NA,NA,NA,NA,0.96
"96",0.168956185127943,-0.935247813153703,-1.19216941227326,NA,NA,NA,NA,NA,0.96
"97",-0.367289347672236,0.0554445490823067,0.289337376381168,NA,NA,NA,NA,NA,0.96
"98",-1.82566017003465,-0.252963464345001,-0.69059664711896,NA,NA,NA,NA,NA,0.96
"99",0.700868294658492,1.45991764427956,-0.221776387184141,NA,NA,NA,NA,NA,0.96
"100",-2.71725781402331,-0.646726327583957,-0.645658503638665,NA,NA,NA,NA,NA,0.96
"101",0.654942158822094,-0.795708757825247,-2.06749283938294,NA,NA,NA,NA,NA,0.96
"102",-0.634245544858825,1.43885731129301,-0.435359775060117,NA,NA,NA,NA,NA,0.96
"103",-0.188380002614274,0.144981371208388,0.908627409835194,NA,NA,NA,NA,NA,0.96
"104",0.521679158714447,-0.0620168479089027,-0.342370877770375,NA,NA,NA,NA,NA,0.96
"105",-1.30508648319148,0.19974084381927,0.158366929892094,NA,NA,NA,NA,NA,0.96
