"","c(5, 1, 1)","c(2, 4, 1)Xc(3, 4, 1)Xc(4, 4, 1)Xc(5, 4, 1)Xc(2, 5, 1)Xc(3, 5, 1)Xc(4, 5, 1)Xc(5, 5, 1)","c(1, 3, 2)Xc(1, 4, 2)Xc(1, 5, 2)Xc(1, 3, 3)Xc(1, 4, 3)Xc(1, 5, 3)","c(1, 2, 2)Xc(1, 3, 2)Xc(1, 4, 2)Xc(1, 5, 2)Xc(1, 2, 3)Xc(1, 3, 3)Xc(1, 4, 3)Xc(1, 5, 3)","c(1, 3, 3)Xc(1, 4, 3)Xc(1, 5, 3)","c(1, 4, 2)Xc(1, 5, 2)Xc(1, 4, 3)Xc(1, 5, 3)","c(3, 3, 2)Xc(4, 3, 2)Xc(5, 3, 2)Xc(3, 3, 3)Xc(4, 3, 3)Xc(5, 3, 3)","c(3, 4, 2)Xc(4, 4, 2)Xc(5, 4, 2)Xc(3, 5, 2)Xc(4, 5, 2)Xc(5, 5, 2)Xc(3, 4, 3)Xc(4, 4, 3)Xc(5, 4, 3)Xc(3, 5, 3)Xc(4, 5, 3)Xc(5, 5, 3)","c(2, 4, 1)Xc(3, 4, 1)Xc(4, 4, 1)Xc(5, 4, 1)","c(2, 5, 1)","c(3, 5, 1)Xc(4, 5, 1)Xc(5, 5, 1)","c(5, 4, 3)Xc(5, 5, 3)","c(1, 3, 3)","c(1, 4, 2)Xc(1, 5, 2)","c(1, 4, 3)Xc(1, 5, 3)","c(2, 4, 1)Xc(2, 5, 1)","c(3, 4, 1)Xc(4, 4, 1)Xc(5, 4, 1)Xc(3, 5, 1)Xc(4, 5, 1)Xc(5, 5, 1)","support_detection_rate"
"43",0.100913911267917,0.502726061430186,0.792141014395987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84
"44",-0.129218266788489,-0.10543679996595,-0.113978756832376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84
"45",-2.11540154529902,0.204241203372657,1.78453894945613,NA,NA,NA,-3.76339214163532,0.00504941376313194,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84
"46",-0.452056875749623,-2.41913611230738,NA,NA,NA,0.133311316798241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84
"47",2.00291620380302,-0.947683191790874,0.0378227988892282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84
"48",1.04711257915279,0.123243610905261,0.0756922664152709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84
"49",-1.6267191784045,1.59623619681739,-0.894627898110356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84
"50",-1.85176281689135,0.302583374589847,0.6152952955073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84
"51",-0.828901175784265,-1.20573464243928,-1.1715007631418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84
"52",0.995568059965684,1.55304852891239,-0.50412126751329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84
"53",-2.45400121958002,1.10885361863322,0.320754799111196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84
"54",-0.138965499385668,0.604575365929325,-0.58158552194012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84
"55",-1.21199325540386,-1.57797912206198,-1.22742279660033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84
"56",-1.03591082776072,0.968090738895236,0.638847123663406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84
"57",1.83407545166801,0.309338070997178,0.974259366703072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84
"58",-0.612163569148884,0.996434927212171,-0.397313498415291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84
"59",1.8194935177485,-0.370127203156528,-0.809602957921592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84
"60",-0.646713050378158,0.293848211695343,0.7426717403408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84
