"","Lasso_best","Lasso_hybrid","SP_best","SP_hybrid","Lasso_prct_diff","SP_prct_diff","Lasso_abs_diff","SP_abs_diff","n","sim"
"14",5.77387140380424,5.62369026868874,5.2203772551573,5.22037725283829,0.0260104745347382,4.44223170895161e-10,0.150181135115504,2.31901253755495e-09,2000,4
"15",5.70032790442722,5.06586600782882,5.13570451946741,5.13563309973275,0.111302701745567,1.39065116361162e-05,0.634461896598394,7.14197346596279e-05,2000,5
"16",5.36876176383818,4.31970157865563,5.06411114998952,5.06411114888309,0.195400770480932,2.1848323715169e-10,1.04906018518255,1.10642339734568e-09,2000,6
"17",5.47470316742094,5.06347217344206,4.89445210983695,4.89445210878576,0.0751147562530962,2.14771246675769e-10,0.411230993978878,1.05118758142453e-09,2000,7
"18",5.25419866825887,3.05706671887703,4.85682887620307,4.85682919532248,0.418166896249076,-6.57053011183118e-08,2.19713194938184,-3.19119403791035e-07,2000,8
"19",6.00294632135794,4.68454496788118,5.1389488278085,5.13894848697778,0.219625710925651,6.63230434333757e-08,1.31840135347676,3.40830726308639e-07,2000,9
"20",6.22701395922684,6.21674774217084,5.18103680830092,5.18103700068434,0.00164865810856005,-3.71322243620084e-08,0.010266217055996,-1.92383421193654e-07,2000,10
"21",5.54871834262694,4.0896987402987,5.17578216522786,5.17578216519291,0.262947137020744,6.75085193224408e-12,1.45901960232824,3.49409390310029e-11,3000,1
"22",5.86124480407883,5.55799635982162,5.25257504183216,5.25257504221251,0.0517378909077775,-7.24126043406875e-11,0.303248444257208,-3.80352638273962e-10,3000,2
"23",5.66712478582213,5.11621525596495,5.05175394637071,5.05175409185305,0.0972114697801325,-2.87983823585829e-08,0.550909529857188,-1.45482341729064e-07,3000,3
"24",5.44273254567042,5.35682340107816,4.87206554184411,4.87206544674072,0.0157841936695204,1.95201369280678e-08,0.0859091445922635,9.51033864993178e-08,3000,4
"25",5.80277365925013,5.70209588298219,5.04261774393853,5.04261774427717,0.0173499402492561,-6.71556410117001e-11,0.100677776267947,-3.38640226971165e-10,3000,5
"26",5.40174946851685,4.37100762955195,4.91986552440125,4.91986552353436,0.190816298492257,1.76201001016534e-10,1.0307418389649,8.66885230266234e-10,3000,6
"27",5.67631737330862,5.30164786464261,5.29112503928986,5.29112467386696,0.0660057364705841,6.90633640099034e-08,0.374669508666007,3.6542289461039e-07,3000,7
"28",5.07882885800192,3.74400308357602,4.81266560539208,4.80627521144064,0.262821570040271,0.00132782837525241,1.3348257744259,0.00639039395144092,3000,8
"29",5.51502178251624,4.71833350311326,5.11798140192514,5.11798114861351,0.144457866318616,4.94944413520097e-08,0.796688279402987,2.5331163033826e-07,3000,9
"30",5.50297987172835,5.4450171548881,5.07045601150251,5.07045637314078,0.010532969080631,-7.13226322705908e-08,0.0579627168402492,-3.616382695526e-07,3000,10
"31",5.17190253118123,3.96087755001895,5.07265884652794,5.07265863392497,0.234154641132746,4.1911546125413e-08,1.21102498116228,2.1260297522474e-07,4000,1
"32",5.3103443459752,5.16485044956691,5.07315659059975,5.07315659010338,0.0273982037565153,9.78424472622459e-11,0.145493896408287,4.96370056168871e-10,4000,2
"33",5.28484645064288,3.86921522968892,4.8827128363898,4.8827125587426,0.267866102482837,5.68633067273723e-08,1.41563122095396,2.77647197677311e-07,4000,3
"34",5.3598980184363,4.5607000106419,5.2703024581525,5.27030245787899,0.14910694290179,5.18952922298683e-11,0.799198007794399,2.73503886205617e-10,4000,4
"35",5.23937572335767,5.00626361586799,4.93903793130103,4.93903785998253,0.0444923440879485,1.44397559214922e-08,0.233112107489673,7.13185022149787e-08,4000,5
"36",5.5164048103799,5.45748267188995,4.99717709650853,4.99717710173466,0.0106812571802335,-1.04581693119617e-09,0.0589221384899448,-5.22613241571435e-09,4000,6
"37",5.6345957066185,5.41599478111294,4.95587300607292,4.9558730049663,0.0387962041799709,2.23295317723851e-10,0.218600925505559,1.10662323749011e-09,4000,7
"38",5.18828338697928,4.26487560988397,4.79857174442829,4.79857174437074,0.177979441025278,1.19937924206248e-11,0.92340777709531,5.75530734181484e-11,4000,8
"39",5.52444033384594,4.63102940407441,5.33909517163724,5.33909531994001,0.161719717434176,-2.77767610774939e-08,0.89341092977153,-1.48302770952569e-07,4000,9
"40",5.34308697076847,5.29202481558448,4.73467027377542,4.73467027270627,0.00955667677942476,2.25811875144896e-10,0.05106215518399,1.06914477271403e-09,4000,10
"41",5.35770418638681,4.88926883644214,4.87772000165432,4.87771997654009,0.0874321040595894,5.14876431745758e-09,0.468435349944669,2.51142306950669e-08,5000,1
"42",5.40581469205232,4.61198913942049,5.17802459584764,5.17802459636636,0.146846608301044,-1.00176032591509e-10,0.793825552631835,-5.18713960673267e-10,5000,2
"43",5.24449328416562,4.98691794155289,4.86764467971855,4.86764475214575,0.0491134850702189,-1.48793103362986e-08,0.257575342612731,-7.24271957963651e-08,5000,3
"44",5.30381109404872,4.76526886072558,4.94038832781218,4.94038817506319,0.101538728241551,3.09184177861732e-08,0.538542233323138,1.52748990345231e-07,5000,4
"45",5.32918700021301,5.13474476583234,4.85783748717206,4.85783748717209,0.0364862847509198,-6.39919403882753e-15,0.194442234380672,-3.10862446895044e-14,5000,5
"46",5.43432580537287,5.40652154665227,4.96408731075388,4.96408731084561,0.0051164136484246,-1.84787601961575e-11,0.0278042587205958,-9.17301790082092e-11,5000,6
"47",5.53348546437134,4.86363565515078,5.09258629943366,5.09258632995379,0.121053866235584,-5.99305154684948e-09,0.669849809220556,-3.05201321992854e-08,5000,7
"48",5.26192293920975,4.34400516125842,5.07091719768235,5.07091720743559,0.174445309928691,-1.92336714884259e-09,0.917917777951335,-9.75323555252317e-09,5000,8
