Policies,estimate,Pooling
"c(1, 1, 2)",0.2037283078977428,Pruned
"c(1, 1, 2)",0.2259472114697024,Pruned
"c(1, 1, 2)",-0.18073688810110766,Pruned
"c(1, 1, 2)",0.03742482332754861,Pruned
"c(1, 1, 2)",-0.27568046629312454,Pruned
"c(1, 1, 2)",-0.1428384682271455,Pruned
"c(1, 1, 2)",0.08663273061038422,Pruned
"c(1, 1, 2)",0.32106747059316415,Pruned
"c(1, 1, 2)",0.32797519824270316,Pruned
"c(1, 1, 2)",-0.1833858183141005,Pruned
"c(1, 1, 2)",-0.0948269763256232,Pruned
"c(1, 1, 2)",-0.009205625230163736,Pruned
"c(1, 1, 2)",-0.04806062951714952,Pruned
"c(1, 1, 2)",-0.08952829923495342,Pruned
"c(1, 1, 2)",-0.21706416237139475,Pruned
"c(1, 1, 2)",-0.4586339893070591,Pruned
"c(1, 1, 2)",-0.10383953574881478,Pruned
"c(1, 1, 2)",-0.06494332329523914,Pruned
"c(1, 1, 2)",-0.26789944483280154,Pruned
"c(1, 1, 2)",0.14400558658554063,Pruned
"c(1, 1, 2)",0.5004571080014403,Pruned
"c(1, 1, 2)",-0.17417901939021996,Pruned
"c(1, 1, 2)",0.21770621447599459,Pruned
"c(1, 1, 2)",-0.39853315989354876,Pruned
"c(1, 1, 2)",-0.008470139689090005,Pruned
"c(1, 1, 2)",0.14298548588950008,Pruned
"c(1, 1, 2)",0.3074933998977431,Pruned
"c(1, 1, 2)",0.21208215679512987,Pruned
"c(1, 1, 2)",0.11776812763493233,Pruned
"c(1, 1, 2)",-0.02699990372729318,Pruned
"c(1, 1, 2)",0.0281343866066411,Pruned
"c(1, 1, 2)",-6.155070974672145e-4,Pruned
"c(1, 1, 2)",0.019571563316132252,Pruned
"c(1, 1, 2)",0.33008905550228845,Pruned
"c(1, 1, 2)",-0.03740181272221947,Pruned
"c(1, 1, 2)",0.22461299093560022,Pruned
"c(1, 1, 2)",-0.0206526247898479,Pruned
"c(1, 1, 2)",0.12172333239508912,Pruned
"c(1, 1, 2)",0.24791226166222538,Pruned
"c(1, 1, 2)",0.5180532254694578,Pruned
"c(1, 1, 2)",0.10899535990847968,Pruned
"c(1, 1, 2)",0.17559767908494622,Pruned
"c(1, 1, 2)",0.1455892807835549,Pruned
"c(1, 1, 2)",0.09203663420550161,Pruned
"c(1, 1, 2)",0.3837704853003575,Pruned
"c(1, 1, 2)",0.01840837752319958,Pruned
"c(1, 1, 2)",-0.48095610147294715,Pruned
"c(1, 1, 2)",-0.009995170581220065,Pruned
"c(1, 1, 2)",-0.030263954732017113,Pruned
"c(1, 1, 2)",0.12933074514929196,Pruned
"c(1, 1, 2)",-0.06640933741294215,Pruned
"c(1, 1, 2)",-0.017785892641590903,Pruned
"c(1, 1, 2)",0.4029652485204471,Pruned
"c(1, 1, 2)",-0.2098090642305915,Pruned
"c(1, 1, 2)",-0.10129197781582719,Pruned
"c(1, 1, 2)",0.013785433592795856,Pruned
"c(1, 1, 2)",-0.212829292893597,Pruned
"c(1, 1, 2)",-0.24742015759143565,Pruned
"c(1, 1, 2)",0.06939378862373288,Pruned
"c(1, 1, 2)",-0.07365186686624557,Pruned
"c(1, 1, 2)",-0.05825288117826835,Pruned
"c(1, 1, 2)",0.1937468961247046,Pruned
"c(1, 1, 2)",-0.2946059347512433,Pruned
"c(1, 1, 2)",0.20044638130189044,Pruned
"c(1, 1, 2)",0.07027120795114072,Pruned
"c(1, 1, 2)",0.26872892565816375,Pruned
"c(1, 1, 2)",-0.3221397908749761,Pruned
"c(1, 1, 2)",0.08376569634929129,Pruned
"c(1, 1, 2)",0.10968880764223694,Pruned
"c(1, 1, 2)",0.032999899972101586,Pruned
"c(1, 1, 2)",-0.2171535548034462,Pruned
"c(1, 1, 2)",-0.06992419558881162,Pruned
"c(1, 1, 2)",0.23626258897500904,Pruned
"c(1, 1, 2)",-0.058221309782814416,Pruned
"c(1, 1, 2)",0.09706136706414666,Pruned
"c(1, 1, 2)",0.2518276787267811,Pruned
"c(1, 1, 2)",0.2742906413675358,Pruned
"c(1, 1, 2)",-0.08417066456325774,Pruned
"c(1, 1, 2)",-0.12954559895137702,Pruned
"c(1, 1, 2)",-0.02187249327630437,Pruned
"c(1, 1, 2)",-0.014101419292472304,Pruned
"c(1, 1, 2)",0.09896089596933434,Pruned
"c(1, 1, 2)",0.15316649492054182,Pruned
"c(1, 1, 3)",-0.18989337045228435,Pruned
"c(1, 1, 3)",-0.13140550723116287,Pruned
"c(1, 1, 3)",-0.02105218352467838,Pruned
"c(1, 1, 3)",-0.05709604299751653,Pruned
"c(1, 1, 3)",0.17317031302158406,Pruned
"c(1, 1, 3)",0.05273560286787325,Pruned
"c(1, 1, 3)",0.12081459027961447,Pruned
"c(1, 1, 3)",0.02072415469010949,Pruned
"c(1, 1, 3)",-0.10022324989405583,Pruned
"c(1, 1, 3)",0.17292803881015517,Pruned
"c(1, 1, 3)",0.2922300413532134,Pruned
"c(1, 1, 3)",0.018915998643838465,Pruned
"c(1, 1, 3)",0.05220106751811387,Pruned
"c(1, 1, 3)",-0.24229712441873918,Pruned
"c(1, 1, 3)",0.16443291461589263,Pruned
"c(1, 1, 3)",-0.02762530849255458,Pruned
"c(1, 1, 3)",0.16960369794591093,Pruned
"c(1, 1, 3)",-0.10253006429097702,Pruned
"c(1, 1, 3)",-0.10205723414018,Pruned
"c(1, 1, 3)",0.06275808583528959,Pruned
"c(1, 1, 3)",0.13786308439877093,Pruned
"c(1, 1, 3)",-0.011878747660089416,Pruned
"c(1, 1, 3)",0.08065749365564612,Pruned
"c(1, 1, 3)",0.21517629621524126,Pruned
"c(1, 1, 3)",0.48165214598890105,Pruned
"c(1, 1, 3)",0.07683447521702103,Pruned
"c(1, 1, 3)",-0.10061667234833278,Pruned
"c(1, 1, 3)",0.014651966900824058,Pruned
"c(1, 1, 3)",-0.19822967802712804,Pruned
"c(1, 1, 3)",-0.018765806246997686,Pruned
"c(1, 1, 3)",0.25529674201970953,Pruned
"c(1, 1, 3)",0.22465255859633596,Pruned
"c(1, 1, 3)",0.12427992197920565,Pruned
"c(1, 1, 3)",0.1300211114672265,Pruned
"c(1, 1, 3)",0.17913489230607962,Pruned
"c(1, 1, 3)",0.11658430000078984,Pruned
"c(1, 1, 3)",-0.014109947168368346,Pruned
"c(1, 1, 3)",0.14041574739897508,Pruned
"c(1, 1, 3)",0.1697609131983575,Pruned
"c(1, 1, 3)",0.14847983863845482,Pruned
"c(1, 1, 3)",0.28921445742255547,Pruned
"c(1, 1, 3)",0.23918526816098507,Pruned
"c(1, 1, 3)",-0.12031911367785023,Pruned
"c(1, 1, 3)",-0.3193368334634728,Pruned
"c(1, 1, 3)",-0.5220983422101999,Pruned
"c(1, 1, 3)",-0.20509926047556284,Pruned
"c(1, 1, 3)",-0.2656326650704732,Pruned
"c(1, 1, 3)",-0.007176970392950526,Pruned
"c(1, 1, 3)",0.36971716232437,Pruned
"c(1, 1, 3)",0.39175089759213466,Pruned
"c(1, 1, 3)",-0.07424372967580285,Pruned
"c(1, 1, 3)",0.13824411990195806,Pruned
"c(1, 1, 3)",0.3673416179644574,Pruned
"c(1, 1, 3)",-0.07364315306593075,Pruned
"c(1, 1, 3)",-0.06937139292389381,Pruned
"c(1, 1, 3)",-0.1452192714458694,Pruned
"c(1, 1, 3)",0.23615209617394523,Pruned
"c(1, 1, 3)",0.19532664761500648,Pruned
"c(1, 1, 3)",0.31153498298120763,Pruned
"c(1, 1, 3)",0.11042338731462455,Pruned
"c(1, 1, 3)",0.06010973532039108,Pruned
"c(1, 1, 3)",-0.07985520792147385,Pruned
"c(1, 1, 3)",0.3744357146759311,Pruned
"c(1, 1, 3)",-0.030038425196052505,Pruned
"c(1, 1, 3)",0.04225760038278851,Pruned
"c(1, 1, 3)",-0.18975089180523333,Pruned
"c(1, 1, 3)",-0.1411195771522368,Pruned
"c(1, 1, 3)",0.172787910558082,Pruned
"c(1, 1, 3)",-0.0468612217132754,Pruned
"c(1, 1, 3)",0.00856283286709681,Pruned
"c(1, 1, 3)",-0.285429178091751,Pruned
"c(1, 1, 3)",-0.3331851006119538,Pruned
"c(1, 1, 3)",0.157940446578338,Pruned
"c(1, 1, 3)",-0.06088302984738198,Pruned
"c(1, 1, 3)",-0.04690347399107702,Pruned
"c(1, 1, 3)",0.21656314457966322,Pruned
"c(1, 1, 3)",0.3085579487295578,Pruned
"c(1, 1, 3)",0.09634347326126663,Pruned
"c(1, 1, 3)",0.08816131586498047,Pruned
"c(1, 1, 3)",0.4162286099646654,Pruned
"c(1, 1, 3)",-0.023116473143822588,Pruned
"c(1, 1, 3)",-0.03211536651607542,Pruned
"c(1, 1, 3)",0.21780080073083946,Pruned
"c(1, 1, 3)",-0.26267392433650294,Pruned
"c(1, 1, 3)",-0.2530386759493061,Pruned
"c(1, 1, 3)",0.23268516010620358,Pruned
"c(1, 1, 3)",0.3234069137706553,Pruned
"c(1, 1, 3)",0.1124989165280738,Pruned
"c(1, 1, 3)",-0.08475100797479013,Pruned
"c(1, 1, 3)",0.013434945947089133,Pruned
"c(1, 1, 3)",-0.2691650645141193,Pruned
"c(1, 1, 3)",0.049016215730692536,Pruned
"c(1, 1, 3)",-0.12161368211211515,Pruned
"c(1, 1, 3)",0.09095563278445253,Pruned
"c(1, 1, 3)",-0.08718561275653702,Pruned
"c(1, 1, 3)",-0.02468403205879355,Pruned
"c(1, 1, 3)",-0.04165852170557631,Pruned
"c(1, 1, 3)",-0.10688480323908622,Pruned
"c(1, 1, 3)",-0.04990160160707899,Pruned
"c(1, 1, 3)",0.7317633239372806,Pruned
"c(1, 1, 3)",0.3595545148482331,Pruned
"c(1, 1, 3)",-0.020293919478834164,Pruned
"c(1, 1, 3)",-0.11919066092983001,Pruned
"c(1, 1, 3)",0.17957823326615055,Pruned
"c(1, 1, 3)",-0.13221619860148967,Pruned
"c(1, 1, 3)",-0.07930153604600056,Pruned
"c(1, 1, 3)",-0.14433594369083727,Pruned
"c(1, 1, 3)",-0.18492732230126577,Pruned
"c(1, 1, 3)",0.1788736125899679,Pruned
"c(1, 1, 3)",0.30668746715750617,Pruned
"c(1, 1, 3)",0.03299315975427605,Pruned
"c(1, 1, 3)",0.058052591118459305,Pruned
"c(1, 1, 3)",0.3232837355481461,Pruned
"c(1, 1, 3)",-0.07002052568139636,Pruned
"c(1, 1, 3)",0.10849444908104182,Pruned
"c(1, 1, 3)",-0.09074467161984771,Pruned
"c(1, 1, 3)",-0.030940227055683153,Pruned
"c(1, 1, 3)",-0.12180403232310506,Pruned
"c(1, 1, 3)",0.1708875138736709,Pruned
"c(1, 1, 3)",-0.08713127890600188,Pruned
"c(1, 1, 3)",-0.006844940272116263,Pruned
"c(1, 1, 3)",0.09447243591053522,Pruned
"c(1, 1, 3)",0.20272637577510494,Pruned
"c(1, 1, 3)",0.10860245800445376,Pruned
"c(1, 1, 3)",-0.11588088110525725,Pruned
"c(1, 1, 3)",0.045605799399385805,Pruned
"c(1, 1, 3)",-0.13963789104395966,Pruned
"c(1, 1, 3)",-0.12705252719259075,Pruned
"c(1, 1, 3)",0.22302979246622798,Pruned
"c(1, 1, 3)",0.09959284687059916,Pruned
"c(1, 1, 3)",0.18957223863437123,Pruned
"c(1, 1, 3)",0.1908058829760287,Pruned
"c(1, 1, 3)",-0.09171333143481356,Pruned
"c(1, 1, 3)",0.04186319230460388,Pruned
"c(1, 1, 3)",-0.27706610521112435,Pruned
"c(1, 1, 3)",0.4056296661053579,Pruned
"c(1, 1, 3)",0.028897230865471277,Pruned
"c(1, 1, 3)",0.3375331543434392,Pruned
"c(1, 1, 3)",0.012829521146864387,Pruned
"c(1, 1, 3)",-0.0167546716040049,Pruned
"c(1, 1, 3)",0.12728969489097877,Pruned
"c(1, 1, 3)",0.18969944016551735,Pruned
"c(1, 1, 3)",0.1117384475131521,Pruned
"c(1, 1, 3)",0.11261775251832447,Pruned
"c(1, 1, 3)",0.20998629418755754,Pruned
"c(1, 1, 3)",0.13397493588340215,Pruned
"c(1, 1, 3)",0.1310310113032109,Pruned
"c(1, 1, 3)",0.20279197611813204,Pruned
"c(1, 1, 3)",0.36809985390305444,Pruned
"c(1, 1, 3)",-0.04264020480123959,Pruned
"c(1, 1, 3)",0.017100061182313258,Pruned
"c(1, 1, 3)",-0.0417515652023752,Pruned
"c(1, 1, 3)",-0.13572615924524753,Pruned
