"","OLS_best","OLS_hybrid","SP_best","SP_hybrid","OLS_prct_diff","SP_prct_diff","OLS_abs_diff","SP_abs_diff","True_best","n","comb","sim","true_best"
"54",9.17411620560917,8.74805841692872,7.72148769903748,7.72148795116536,0.0464412897255384,-3.2652758979342e-08,0.426057788680453,-2.52127876798625e-07,8,1000,3,14,6
"55",7.77927227169647,3.18469440559727,7.80869291267774,7.80869289477992,0.590617953149136,2.29203778747882e-09,4.5945778660992,1.78978192266754e-08,8,1000,3,15,6
"56",8.16756165256758,5.68528821383477,8.31626994823863,8.31626994791437,0.303918543174079,3.89914330474755e-11,2.48227343873282,3.24263282891479e-10,8,1000,3,16,6
"57",10.7767004411618,10.6169738909,8.60922170778745,8.60922251577524,0.0148214707399392,-9.38514321414822e-08,0.15972655026177,-8.07987786899389e-07,8,1000,3,17,6
"58",8.41044476373042,7.14851388052246,7.62110625849356,7.62110625849356,0.150043299570788,-9.32335426983734e-16,1.26193088320796,-7.105427357601e-15,8,1000,3,18,6
"59",8.49021891612279,4.76421257224126,7.88880015479238,7.88880015126236,0.438858689121184,4.4747233580943e-10,3.72600634388153,3.53001983199874e-09,8,1000,3,19,6
"60",8.68090388909802,8.45568631215679,8.20716490472361,8.20650917934276,0.0259440237812183,7.98966986118639e-05,0.22521757694123,0.000655725380850569,8,1000,3,20,6
"61",5.87429854602555,5.79947703611809,4.91543611313171,4.91543609393638,0.0127370969182501,3.90511116394661e-09,0.074821509907463,1.9195324441057e-08,5,1000,4,1,6
"62",6.3450510887279,6.16689209710809,5.19745255996552,5.19745213787709,0.0280784171992428,8.12106365577789e-08,0.178158991619812,4.22088430873657e-07,5,1000,4,2,6
"63",5.51102458849223,4.35777660492477,4.96491632207346,4.96491632208333,0.209261992039664,-1.98926696572013e-12,1.15324798356746,-9.87654402706539e-12,5,1000,4,3,6
"64",6.45945338455872,2.98256744847714,5.50580931096315,5.50580223985623,0.538263182515265,1.28429927691274e-06,3.47688593608158,7.07110691688939e-06,5,1000,4,4,6
"65",4.21812103899932,0.439465851276817,4.67697027216264,4.67697027045283,0.895814784067677,3.65580131425198e-10,3.7786551877225,1.70980740676896e-09,5,1000,4,5,6
"66",3.4181146292316,-0.665907268395476,4.34046142974673,4.33953451370057,1.19481712599708,0.000213552420902427,4.08402189762708,0.000926916046156023,5,1000,4,6,6
"67",7.18951711357873,7.18786672625859,7.77114611132429,7.77114633739141,0.000229554682750953,-2.9090576517343e-08,0.00165038732014011,-2.26067120578932e-07,5,1000,4,7,6
"68",6.63212181902493,5.93619445714217,5.05117748892545,5.05117729376989,0.104932837615621,3.8635657202842e-08,0.695927361882762,1.95155561932836e-07,5,1000,4,8,6
"69",4.87347776986744,1.18644573371435,5.22894971692256,4.50644055286289,0.756550498485884,0.138174815818443,3.68703203615308,0.722509164059674,5,1000,4,9,6
"70",6.30148073995677,4.63714209769842,5.0295371711238,5.02953717868456,0.264118658921707,-1.50327240891407e-09,1.66433864225835,-7.56076445895815e-09,5,1000,4,10,6
"71",5.70678782454041,1.58728049973228,5.06016077083333,5.06016077130117,0.72186095776916,-9.24555582636591e-11,4.11950732480812,-4.67839988971264e-10,5,1000,4,11,6
"72",5.00217221541243,3.90502644579648,5.00554719895489,5.00554719829402,0.21933386584242,1.32027439761134e-10,1.09714576961595,6.60869581281531e-10,5,1000,4,12,6
"73",5.53267225218423,4.49702066582504,5.06320618701885,5.06320631574676,0.187188313197177,-2.54241886398113e-08,1.03565158635919,-1.28727909221027e-07,5,1000,4,13,6
"74",6.71574429586879,4.54025419377702,5.46152793339423,5.46152870877954,0.323938793117841,-1.41972231961701e-07,2.17549010209176,-7.75385310625154e-07,5,1000,4,14,6
"75",6.69126188572332,5.29736998510527,5.18043900294107,5.18043900157414,0.208315251207265,2.63865047963834e-10,1.39389190061805,1.36693678598476e-09,5,1000,4,15,6
"76",6.67636125254076,2.74030458441074,4.90692756834592,4.88845827006223,0.589551182035291,0.00376392315281721,3.93605666813002,0.0184692982836943,5,1000,4,16,6
"77",5.13582083471857,0.0164643950801875,4.72593254616535,4.72593253366508,0.996794203767996,2.64503797258744e-09,5.11935643963838,1.25002710404942e-08,5,1000,4,17,6
"78",5.55260241325294,2.65605231410006,4.88147236299175,4.88147211004318,0.521656312405766,5.18180876036314e-08,2.89655009915289,2.52948562540212e-07,5,1000,4,18,6
"79",6.31769892090285,1.7668338348477,4.91569474400797,4.91569473811029,0.720335860102177,1.19976596143612e-09,4.55086508605515,5.89768323067119e-09,5,1000,4,19,6
"80",4.69932716652069,3.9373242961997,4.79976472323285,4.79976476546275,0.162151483248434,-8.79832681895055e-09,0.762002870320993,-4.22298986890723e-08,5,1000,4,20,6
"81",5.13055030269877,5.07357233047126,5.04321167521038,5.0297905587779,0.0111056258814081,0.00266122409623443,0.0569779722275179,0.0134211164324807,6,1000,5,1,6
"82",9.43857087971836,9.43857087901915,7.94472409253662,7.94472379931783,7.40794617071385e-11,3.69073600218688e-08,6.99204250054208e-10,2.93218792357663e-07,6,1000,5,2,6
"83",5.25465807443492,5.25457256152045,5.91466661366771,5.91466661427641,1.62737352758699e-05,-1.02913470673085e-10,8.55129144685662e-05,-6.08698869086766e-10,6,1000,5,3,6
"84",5.91879525680458,5.7659600629979,6.18508299866838,6.18508391919712,0.0258220105909187,-1.48830458933375e-07,0.152835193806688,-9.20528741232829e-07,6,1000,5,4,6
"85",5.43351786636808,5.43222977061634,5.66503331958896,5.66503336672027,0.000237064786279437,-8.31968874741631e-09,0.00128809575173605,-4.71313139627227e-08,6,1000,5,5,6
"86",5.87983386460861,5.87146898736776,5.79588801363794,5.79588789641427,0.0014226383658893,2.02253171833162e-08,0.00836487724084733,1.17223673434808e-07,6,1000,5,6,6
"87",7.10408396009123,7.10408488533829,6.6314874642161,6.63148754732763,-1.30241571428919e-07,-1.25328640729844e-08,-9.25247058525258e-07,-8.31115309907204e-08,6,1000,5,7,6
"88",7.2275678995082,7.22756789966663,7.29208353677564,7.29208354826817,-2.19201972219742e-11,-1.57602860708103e-09,-1.5842971379243e-10,-1.1492532259183e-08,6,1000,5,8,6
"89",7.50353812698841,7.50327605522603,6.79982076052112,6.79982076096414,3.49264251013454e-05,-6.51526085590129e-11,0.00026207176238735,-4.43026060281682e-10,6,1000,5,9,6
"90",6.37400309650812,6.35051264025914,6.29967016510365,6.29966991736449,0.00368535375545213,3.93257357609653e-08,0.0234904562489797,2.47739164294103e-07,6,1000,5,10,6
"91",6.92899905742365,6.92899907894092,6.55028900916329,6.55028902312908,-3.10539378828156e-09,-2.13208765024845e-09,-2.15172706319322e-08,-1.39657903019952e-08,6,1000,5,11,6
"92",6.33456782305102,6.33299710369662,6.36071940289612,6.36071941352129,0.000247959986895739,-1.67043471836754e-09,0.0015707193543939,-1.06251665243917e-08,6,1000,5,12,6
"93",6.34321345008572,6.34321346370805,6.77114103492312,6.77114106796639,-2.14754427141547e-09,-4.88001402810771e-09,-1.36223317070971e-08,-3.30432632367206e-08,6,1000,5,13,6
"94",5.88984040943723,5.8895381697894,6.35102006752208,6.35102001351722,5.13154222905963e-05,8.50333654332942e-09,0.00030223964783449,5.4004861027579e-08,6,1000,5,14,6
"95",9.50036043740235,9.50024690752088,7.426609495463,7.42660947450188,1.19500604438821e-05,2.82243345121213e-09,0.000113529881465624,2.09611110690844e-08,6,1000,5,15,6
"96",6.24844497396073,6.23470362112297,5.64328932934984,5.64328932751416,0.00219916361511101,3.25285160642917e-10,0.0137413528377577,1.83567827605202e-09,6,1000,5,16,6
"97",4.68842525532159,4.63846996134411,4.86961449429428,4.85989884737778,0.0106550262096601,0.00199515730205787,0.0499552939774839,0.00971564691649807,6,1000,5,17,6
